murder,negligent_manslaughter,forcible_sex,nonforcible_sex,robbery,aggravated_assault,burglary,vehicle_theft,arson,institute_id,location,year
,,,,,,,,,105330016,noncampus,2016
,,,,,,,,,105330017,noncampus,2016
,,,,,,,,,105330018,noncampus,2016
,,,,,,,,,105330019,noncampus,2016
,,,,,,,,,105330020,noncampus,2016
,,,,,,,,,105330021,noncampus,2016
,,,,,,,,,105330023,noncampus,2016
,,,,,,,,,105330025,noncampus,2016
,,,,,,,,,105330027,noncampus,2016
,,,,,,,,,105330028,noncampus,2016
,,,,,,,,,105330029,noncampus,2016
,,,,,,,,,105330030,noncampus,2016
,,,,,,,,,105330031,noncampus,2016
0,0,0,0,0,0,0,0,0,105349001,noncampus,2016
0,0,0,0,0,0,0,0,0,105349002,noncampus,2016
0,0,0,0,0,0,0,0,0,105349003,noncampus,2016
0,0,0,0,0,0,0,0,0,105349004,noncampus,2016
0,0,0,0,0,0,0,0,0,105349006,noncampus,2016
0,0,0,0,0,0,0,0,0,105349007,noncampus,2016
0,0,0,0,0,0,0,0,0,105349008,noncampus,2016
0,0,0,0,0,0,0,0,0,105349009,noncampus,2016
0,0,0,0,0,0,0,0,0,105349010,noncampus,2016
0,0,0,0,0,0,0,0,0,105367001,noncampus,2016
,,,,,,,,,105367003,noncampus,2016
,,,,,,,,,105367004,noncampus,2016
,,,,,,,,,105428001,noncampus,2016
,,,,,,,,,105428002,noncampus,2016
,,,,,,,,,105428003,noncampus,2016
,,,,,,,,,105482001,noncampus,2016
0,0,0,0,0,0,0,0,0,105525001,noncampus,2016
,,,,,,,,,105525002,noncampus,2016
,,,,,,,,,105525004,noncampus,2016
,,,,,,,,,105525005,noncampus,2016
,,,,,,,,,105525006,noncampus,2016
,,,,,,,,,105525008,noncampus,2016
,,,,,,,,,105525010,noncampus,2016
,,,,,,,,,105525011,noncampus,2016
,,,,,,,,,105525015,noncampus,2016
0,0,0,0,0,0,0,0,0,105525016,noncampus,2016
0,0,0,0,0,0,0,0,0,105525017,noncampus,2016
0,0,0,0,0,0,0,0,0,105534001,noncampus,2016
,,,,,,,,,105543001,noncampus,2016
,,,,,,,,,105589001,noncampus,2016
0,0,0,0,0,0,0,0,0,105659001,noncampus,2016
,,,,,,,,,105668001,noncampus,2016
,,,,,,,,,105668002,noncampus,2016
,,,,,,,,,105668003,noncampus,2016
,,,,,,,,,105668004,noncampus,2016
,,,,,,,,,105668005,noncampus,2016
,,,,,,,,,105668006,noncampus,2016
,,,,,,,,,105668008,noncampus,2016
,,,,,,,,,105668009,noncampus,2016
,,,,,,,,,105668010,noncampus,2016
,,,,,,,,,105668011,noncampus,2016
,,,,,,,,,105668013,noncampus,2016
,,,,,,,,,105668014,noncampus,2016
,,,,,,,,,105677001,noncampus,2016
,,,,,,,,,105701001,noncampus,2016
,,,,,,,,,105747001,noncampus,2016
0,0,0,0,0,0,0,0,0,105792001,noncampus,2016
0,0,0,0,0,0,0,0,0,105792002,noncampus,2016
0,0,0,0,0,0,0,0,0,105792004,noncampus,2016
0,0,0,0,0,0,0,0,0,105899001,noncampus,2016
,,,,,,,,,106041001,noncampus,2016
,,,,,,,,,106102001,noncampus,2016
,,,,,,,,,106111001,noncampus,2016
0,0,0,0,0,0,0,0,0,106148001,noncampus,2016
,,,,,,,,,106148002,noncampus,2016
,,,,,,,,,106148003,noncampus,2016
